Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
45982_44908_SO2_NC1_H8_2_val_2_screen	37823.0	304.0	345.0	37746.0
45982_44908_SO3_NC1_I8_1_val_1_screen	166.0	37540.0	37384.0	175.0
45982_44908_SO3_NC1_I8_2_val_2_screen	36778.0	247.0	256.0	36776.0
45982_45001_PO1_NC3_E9_1_val_1_screen	191.0	34383.0	34276.0	183.0
45982_45001_PO1_NC3_E9_2_val_2_screen	33849.0	325.0	323.0	34033.0
45982_45001_PO2_NC4_F8_1_val_1_screen	240.0	39844.0	38268.0	479.0
45982_45001_PO2_NC4_F8_2_val_2_screen	39153.0	381.0	644.0	37595.0
45982_45001_SO1_NC1_B9_1_val_1_screen	108.0	40284.0	39460.0	192.0
45982_45001_SO1_NC1_B9_2_val_2_screen	40245.0	270.0	332.0	39494.0
45982_45001_SO2_NC1_C10_1_val_1_screen	285.0	35677.0	35126.0	278.0
45982_45001_SO2_NC1_C10_2_val_2_screen	35089.0	378.0	420.0	34727.0
45982_45001_SO3_NC1_D9_1_val_1_screen	221.0	36142.0	36171.0	179.0
45982_45001_SO3_NC1_D9_2_val_2_screen	35765.0	466.0	432.0	35687.0
46363_44664_PO1_NC5_L9_1_val_1_screen	156.0	39717.0	40009.0	150.0
46363_44664_PO1_NC5_L9_2_val_2_screen	39313.0	365.0	320.0	39572.0
46363_44664_SO1_NC1_I9_1_val_1_screen	131.0	39854.0	40077.0	111.0
46363_44664_SO1_NC1_I9_2_val_2_screen	39539.0	271.0	277.0	39569.0
46363_44664_SO2_NC1_J9_1_val_1_screen	87.0	39546.0	39689.0	86.0
46363_44664_SO2_NC1_J9_2_val_2_screen	39120.0	205.0	198.0	39260.0
46363_44664_SO3_NC1_K9_1_val_1_screen	158.0	37607.0	37386.0	181.0
46363_44664_SO3_NC1_K9_2_val_2_screen	37160.0	288.0	308.0	36748.0
46363_44914_PO1_NC4_H9_1_val_1_screen	157.0	39361.0	39201.0	186.0
46363_44914_PO1_NC4_H9_2_val_2_screen	38819.0	394.0	336.0	38910.0
46363_44914_SO1_NC1_F9_1_val_1_screen	77.0	39831.0	39475.0	91.0
46363_44914_SO1_NC1_F9_2_val_2_screen	39860.0	296.0	272.0	39660.0
46363_44914_SO2_NC1_G9_1_val_1_screen	328.0	39362.0	39370.0	325.0
46363_44914_SO2_NC1_G9_2_val_2_screen	39098.0	464.0	443.0	38975.0
46363_44914_SO3_NC1_I6_1_val_1_screen	166.0	32107.0	31734.0	169.0
46363_44914_SO3_NC1_I6_2_val_2_screen	31678.0	278.0	270.0	31228.0
46606_44938_PO1_NC4_P9_1_val_1_screen	185.0	33002.0	32647.0	191.0
46606_44938_PO1_NC4_P9_2_val_2_screen	32426.0	279.0	286.0	32269.0
46606_44938_PO2_NC3_A10_1_val_1_screen	171.0	34334.0	34042.0	176.0
46606_44938_PO2_NC3_A10_2_val_2_screen	34209.0	276.0	276.0	33655.0
46606_44938_PO3_NC5_B10_1_val_1_screen	242.0	39751.0	39784.0	248.0
46606_44938_PO3_NC5_B10_2_val_2_screen	39409.0	489.0	505.0	39423.0
46606_44938_SO1_NC1_M9_1_val_1_screen	76.0	39947.0	39497.0	69.0
46606_44938_SO1_NC1_M9_2_val_2_screen	39703.0	205.0	199.0	39269.0
46606_44938_SO2_NC1_N9_1_val_1_screen	151.0	38292.0	38422.0	175.0
46606_44938_SO2_NC1_N9_2_val_2_screen	37525.0	284.0	297.0	37949.0
46606_44938_SO3_NC1_O9_1_val_1_screen	176.0	36224.0	36569.0	133.0
46606_44938_SO3_NC1_O9_2_val_2_screen	35832.0	294.0	280.0	36226.0
46606_44993_PO1_NC5_C9_1_val_1_screen	318.0	24941.0	24912.0	256.0
46606_44993_PO1_NC5_C9_2_val_2_screen	25184.0	207.0	222.0	25077.0
46606_44993_PO2_NC5_D10_1_val_1_screen	161.0	36693.0	36859.0	140.0
46606_44993_PO2_NC5_D10_2_val_2_screen	36277.0	296.0	277.0	36513.0
46606_44993_PO3_NC5_E10_1_val_1_screen	213.0	38135.0	38071.0	180.0
46606_44993_PO3_NC5_E10_2_val_2_screen	37770.0	376.0	333.0	37724.0
46606_44993_PO4_NC5_F10_1_val_1_screen	301.0	36916.0	36949.0	298.0
46606_44993_PO4_NC5_F10_2_val_2_screen	36358.0	423.0	424.0	36534.0
