Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
45208_45054_EO2_NC8_E7_2_val_2_screen	1128.0	258.0	195.0	1069.0
45208_45054_EO3_NC8_F7_1_val_1_screen	92.0	889.0	1012.0	104.0
45208_45054_EO3_NC8_F7_2_val_2_screen	997.0	179.0	174.0	1232.0
45208_45054_EO4_NC8_G7_1_val_1_screen	138.0	1076.0	1140.0	116.0
45208_45054_EO4_NC8_G7_2_val_2_screen	1052.0	228.0	244.0	1223.0
45208_45054_EO5_NC8_H7_1_val_1_screen	186.0	848.0	1040.0	183.0
45208_45054_EO5_NC8_H7_2_val_2_screen	1023.0	318.0	313.0	1287.0
45669_44700_PO1_NC5_O8_1_val_1_screen	140.0	914.0	1026.0	152.0
45669_44700_PO1_NC5_O8_2_val_2_screen	1013.0	275.0	264.0	1231.0
45669_44700_PO2_NC5_P8_1_val_1_screen	163.0	981.0	1080.0	157.0
45669_44700_PO2_NC5_P8_2_val_2_screen	1066.0	287.0	335.0	1242.0
45669_44700_PO3_NC4_A9_1_val_1_screen	150.0	902.0	1061.0	155.0
45669_44700_PO3_NC4_A9_2_val_2_screen	1047.0	292.0	293.0	1268.0
45669_44700_SO1_NC1_L8_1_val_1_screen	125.0	964.0	954.0	122.0
45669_44700_SO1_NC1_L8_2_val_2_screen	1075.0	254.0	234.0	1187.0
45669_44700_SO2_NC1_M8_1_val_1_screen	206.0	816.0	933.0	195.0
45669_44700_SO2_NC1_M8_2_val_2_screen	967.0	326.0	302.0	1143.0
45669_44700_SO3_NC1_N8_1_val_1_screen	164.0	867.0	1032.0	212.0
45669_44700_SO3_NC1_N8_2_val_2_screen	1058.0	299.0	336.0	1239.0
45669_44964_PO1_NC4_B8_1_val_1_screen	151.0	939.0	987.0	143.0
45669_44964_PO1_NC4_B8_2_val_2_screen	1081.0	265.0	220.0	1244.0
45669_44964_PO2_NC4_C7_1_val_1_screen	99.0	918.0	1036.0	119.0
45669_44964_PO2_NC4_C7_2_val_2_screen	1056.0	220.0	205.0	1315.0
45669_44964_PO3_NC3_D8_1_val_1_screen	123.0	879.0	985.0	99.0
45669_44964_PO3_NC3_D8_2_val_2_screen	1077.0	236.0	194.0	1350.0
45669_44964_PO4_NC3_E8_1_val_1_screen	108.0	901.0	1010.0	100.0
45669_44964_PO4_NC3_E8_2_val_2_screen	1039.0	211.0	193.0	1228.0
45669_44964_SO1_NC1_O7_1_val_1_screen	161.0	844.0	1009.0	159.0
45669_44964_SO1_NC1_O7_2_val_2_screen	966.0	245.0	227.0	1174.0
45669_44964_SO2_NC1_P7_1_val_1_screen	180.0	860.0	947.0	193.0
45669_44964_SO2_NC1_P7_2_val_2_screen	1057.0	341.0	363.0	1135.0
45669_44964_SO3_NC1_A8_1_val_1_screen	107.0	881.0	1102.0	148.0
45669_44964_SO3_NC1_A8_2_val_2_screen	1111.0	218.0	218.0	1322.0
45982_44908_PO1_NC3_J8_1_val_1_screen	144.0	819.0	947.0	137.0
45982_44908_PO1_NC3_J8_2_val_2_screen	930.0	266.0	235.0	1141.0
45982_44908_PO2_NC4_K8_1_val_1_screen	169.0	891.0	897.0	132.0
45982_44908_PO2_NC4_K8_2_val_2_screen	1074.0	341.0	234.0	1048.0
45982_44908_SO1_NC1_G8_1_val_1_screen	186.0	993.0	1030.0	129.0
45982_44908_SO1_NC1_G8_2_val_2_screen	1090.0	292.0	221.0	1257.0
45982_44908_SO2_NC1_H8_1_val_1_screen	124.0	882.0	1002.0	151.0
45982_44908_SO2_NC1_H8_2_val_2_screen	1016.0	279.0	254.0	1157.0
45982_44908_SO3_NC1_I8_1_val_1_screen	185.0	898.0	948.0	151.0
45982_44908_SO3_NC1_I8_2_val_2_screen	1011.0	318.0	290.0	1158.0
45982_45001_PO1_NC3_E9_1_val_1_screen	221.0	858.0	938.0	162.0
45982_45001_PO1_NC3_E9_2_val_2_screen	1080.0	405.0	317.0	1168.0
45982_45001_PO2_NC4_F8_1_val_1_screen	106.0	908.0	954.0	103.0
45982_45001_PO2_NC4_F8_2_val_2_screen	1057.0	195.0	209.0	1183.0
45982_45001_SO1_NC1_B9_1_val_1_screen	98.0	959.0	1224.0	110.0
45982_45001_SO1_NC1_B9_2_val_2_screen	1025.0	176.0	214.0	1377.0
45982_45001_SO2_NC1_C10_1_val_1_screen	135.0	900.0	977.0	111.0
45982_45001_SO2_NC1_C10_2_val_2_screen	1081.0	285.0	242.0	1193.0
45982_45001_SO3_NC1_D9_1_val_1_screen	120.0	889.0	931.0	114.0
45982_45001_SO3_NC1_D9_2_val_2_screen	1049.0	252.0	226.0	1171.0
46363_44664_PO1_NC5_L9_1_val_1_screen	182.0	849.0	1000.0	132.0
46363_44664_PO1_NC5_L9_2_val_2_screen	994.0	301.0	277.0	1263.0
46363_44664_SO1_NC1_I9_1_val_1_screen	153.0	828.0	976.0	143.0
46363_44664_SO1_NC1_I9_2_val_2_screen	959.0	275.0	307.0	1304.0
46363_44664_SO2_NC1_J9_1_val_1_screen	163.0	899.0	956.0	159.0
46363_44664_SO2_NC1_J9_2_val_2_screen	1064.0	355.0	348.0	1189.0
46363_44664_SO3_NC1_K9_1_val_1_screen	177.0	922.0	919.0	159.0
46363_44664_SO3_NC1_K9_2_val_2_screen	1040.0	353.0	343.0	1134.0
46363_44914_PO1_NC4_H9_1_val_1_screen	154.0	873.0	1003.0	199.0
46363_44914_PO1_NC4_H9_2_val_2_screen	1065.0	316.0	300.0	1218.0
46363_44914_SO1_NC1_F9_1_val_1_screen	120.0	1092.0	1256.0	118.0
46363_44914_SO1_NC1_F9_2_val_2_screen	1154.0	217.0	263.0	1326.0
46363_44914_SO2_NC1_G9_1_val_1_screen	147.0	884.0	1061.0	169.0
46363_44914_SO2_NC1_G9_2_val_2_screen	1079.0	280.0	262.0	1299.0
46363_44914_SO3_NC1_I6_1_val_1_screen	141.0	1005.0	899.0	113.0
46363_44914_SO3_NC1_I6_2_val_2_screen	1113.0	252.0	190.0	1114.0
46606_44938_PO1_NC4_P9_1_val_1_screen	222.0	999.0	936.0	179.0
46606_44938_PO1_NC4_P9_2_val_2_screen	1109.0	391.0	362.0	1129.0
46606_44938_PO2_NC3_A10_1_val_1_screen	89.0	976.0	1059.0	106.0
46606_44938_PO2_NC3_A10_2_val_2_screen	1151.0	214.0	178.0	1168.0
46606_44938_PO3_NC5_B10_1_val_1_screen	121.0	840.0	1036.0	120.0
46606_44938_PO3_NC5_B10_2_val_2_screen	1087.0	219.0	235.0	1298.0
46606_44938_SO1_NC1_M9_1_val_1_screen	136.0	967.0	1059.0	121.0
46606_44938_SO1_NC1_M9_2_val_2_screen	1048.0	267.0	267.0	1193.0
46606_44938_SO2_NC1_N9_1_val_1_screen	189.0	893.0	954.0	154.0
46606_44938_SO2_NC1_N9_2_val_2_screen	1064.0	337.0	303.0	1188.0
46606_44938_SO3_NC1_O9_1_val_1_screen	163.0	818.0	947.0	163.0
46606_44938_SO3_NC1_O9_2_val_2_screen	996.0	297.0	270.0	1201.0
46606_44993_PO1_NC5_C9_1_val_1_screen	330.0	798.0	775.0	347.0
46606_44993_PO1_NC5_C9_2_val_2_screen	1518.0	340.0	283.0	1404.0
46606_44993_PO2_NC5_D10_1_val_1_screen	110.0	915.0	1018.0	100.0
46606_44993_PO2_NC5_D10_2_val_2_screen	1090.0	227.0	206.0	1263.0
46606_44993_PO3_NC5_E10_1_val_1_screen	114.0	889.0	980.0	116.0
46606_44993_PO3_NC5_E10_2_val_2_screen	1043.0	240.0	227.0	1238.0
46606_44993_PO4_NC5_F10_1_val_1_screen	160.0	928.0	990.0	173.0
46606_44993_PO4_NC5_F10_2_val_2_screen	1063.0	307.0	288.0	1259.0
